BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Pfizer Inc,Johnson & Johnson,Merck & Co Inc,Thermo Fisher Scientific Inc,Amgen Inc,AbbVie Inc,Eli Lilly & Co,Biogen Inc,Gilead Sciences Inc,Illumina Inc,Quintiles Transnational Holdings Inc,Bristol-Myers Squibb Co,Agilent Technologies Inc,Bio-Rad Laboratories Inc,Allergan plc,Mylan NV,Regeneron Pharmaceuticals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
biochemist,33.11,35.77,50.37,45.85,31.03,,26.32,,33.82,41.45,48.81,36.39,32.61,,,37.49,,,,,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10
chemist,30.02,31.72,45.60,40.46,28.69,,26.64,23.47,35.45,40.63,44.32,,32.59,,,35.30,33.72,24.91,26.50,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13
database analyst,35.91,43.95,55.23,55.80,47.23,,,40.25,40.58,52.36,,,40.61,42.54,46.27,,,46.41,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
intern,14.77,16.05,20.69,21.13,13.07,15.13,18.10,15.62,17.70,,23.67,12.64,14.42,,15.45,17.10,,,,18.31,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13
manager,47.73,53.63,72.01,72.47,53.51,54.97,49.40,42.62,46.30,64.64,71.74,53.65,42.82,56.31,61.63,51.69,,,49.57,60.35,51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16
research associate,24.73,23.01,33.77,33.91,20.93,23.27,30.40,,23.90,,25.50,25.20,21.83,19.61,,21.75,,17.70,,,21.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12
research scientist,35.92,40.05,51.76,51.98,35.86,35.46,31.38,,,54.91,56.60,,37.68,,,32.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8
statistician,36.86,41.06,55.67,52.33,41.25,48.26,33.31,,38.55,47.09,48.51,42.86,35.47,,40.34,47.65,,,32.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
SCORE,40.4,38/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retailing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,Advance Auto Parts Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
account manager,21.81,24.51,23.47,28.67,,,,,31.17,22.70,,,17.69,,,,,36.29,,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
assistant manager,14.36,17.81,14.51,19.70,17.22,25.52,18.64,22.61,17.45,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,16.22,21.06,17.88,18.68,15.11,25.27,21.77,12.78,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,11.07,,,,,,,,,,,,,,,9,33
car sales,8.95,11.20,9.22,12.16,,,,,,,10.64,,,,,,,,,,,,,,,,,,,17.14,,8.06,,,,,,,,,,,,,,,,,,,,,,,2,4
delivery driver,8.78,11.86,9.45,12.49,,,,,,14.41,,,16.14,14.01,,,,,,,,,,,,,,,9.19,,,,,,,,,,,8.65,,,,,,,,,,,,,,,2,6
district manager,36.79,40.25,40.52,45.19,44.62,55.06,,27.41,,63.50,,,,,,40.65,,,,,,52.77,,,44.00,,,,30.88,,36.36,,,28.87,,,,33.04,,29.27,,,,,,,,,,,,,,,7,13
driver,8.21,10.38,9.32,10.89,,,,,,,,,,14.50,,,,,,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
general manager,20.49,30.12,21.55,34.36,26.71,33.71,39.55,,,42.23,,,28.68,,36.83,,,,26.72,,26.67,,,19.80,,,,,,48.20,19.86,25.62,,,,,26.60,,,,,,,,,,,,,,,,,,3,14
key holder,9.04,9.34,9.51,9.88,9.54,,,,,,,,,,,10.92,,,,,,,,,10.69,,,,,,8.56,10.08,,,,,7.77,8.08,,,,,,,,,,,,,,,,,4,8
manager,28.19,30.58,30.83,36.03,30.66,38.56,27.53,19.94,49.85,34.38,,25.96,36.73,33.25,36.16,35.19,26.71,55.67,17.37,50.68,26.64,28.88,16.75,28.20,41.86,10.40,,,20.80,32.11,29.02,15.71,78.67,17.00,10.63,34.77,30.35,20.61,19.79,,,,,,,,,,,,,,,,15,33
sales,13.36,10.52,14.22,11.84,8.69,9.91,9.00,14.66,,11.19,7.82,7.70,,9.60,13.88,9.82,,,8.00,15.87,,,12.29,7.94,,,,,8.70,14.88,,,,,,,10.00,,7.72,9.45,,,,,,,,,,,,,,,16,20
sales associate,8.80,8.47,8.99,9.38,7.82,9.23,7.70,7.84,,9.24,9.72,7.54,7.51,10.67,8.09,7.86,7.10,,7.87,,8.29,7.58,8.45,7.47,8.17,7.58,11.89,7.20,8.24,13.63,8.14,8.18,,7.18,8.75,,9.74,7.68,6.39,,9.53,,,,,,,,,,,,,,24,32
software engineer < 3 years,47.64,38.55,44.14,46.17,39.90,26.00,23.33,25.93,41.11,,41.16,27.67,32.63,38.58,,,32.16,40.84,,49.17,34.13,,,,43.20,,,,38.21,,,,76.38,,,32.19,42.29,,,,,,,,,,,,,,,,,,17,19
store manager,22.12,27.89,23.15,30.57,29.24,39.35,26.75,43.30,,33.29,31.67,29.37,28.96,41.18,38.53,24.54,30.88,,28.61,,23.28,26.40,35.93,27.98,29.31,22.11,39.15,33.00,20.87,,18.58,25.15,,19.56,24.46,,19.06,16.61,18.10,17.21,,,,,,,,,,,,,,,9,31
systems engineer,50.30,43.65,46.79,46.99,37.08,43.75,,41.47,43.82,,,,,43.00,48.38,,,41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
warehouse worker,12.13,13.70,12.35,14.21,,,,17.59,11.38,13.13,,,,,,,,,,,,,,,,,,,,,14.25,,,,,,,,,,,,,,,,,,,,,,,,2,5
SCORE,51.9,122/235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,Amazon.com Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
account executive,30.76,23.99,39.03,29.51,,,,,,,,23.25,,,,,,,17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
account manager,31.17,24.51,39.11,28.67,,,,,22.70,,,17.69,,,,,36.29,,17.38,,,,,,,,,21.81,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
accountant,35.74,27.37,44.39,33.69,,,,26.83,,,,20.47,,,,,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
administrative assistant,19.14,14.95,23.83,17.55,,18.94,11.78,18.67,14.00,,11.29,,,,,,,,,,,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
area manager,29.96,21.66,32.05,24.35,,24.04,,,,,13.10,,30.19,,,,,,,,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
assistant manager,17.45,17.81,20.08,19.70,17.22,25.52,18.64,22.61,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,16.22,21.06,17.88,18.68,15.11,25.27,21.77,14.36,12.78,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,11.07,,,,,,,,,,,,,,,16,33
associate,11.41,8.74,12.31,9.79,8.89,8.64,8.26,9.11,8.50,9.46,8.26,,10.69,8.30,8.15,7.51,,8.13,,8.41,7.60,8.69,8.30,8.64,8.17,,8.63,,,,8.39,,,,,,10.00,,8.77,,,,,,,,,,,,,,,,23,23
business analyst,31.98,30.78,37.32,34.94,,36.00,28.77,27.68,31.55,28.18,33.00,23.16,,34.66,,29.24,33.74,,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12
business development manager,55.54,33.39,64.57,37.94,,,,,,,,,,,,,,,23.13,,,,,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
business manager,49.36,26.60,55.86,31.60,,,19.20,,,22.35,,,,,,,,,,,,,,,,15.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
buyer,27.96,31.59,32.09,40.43,,,23.95,45.46,38.27,36.83,,,,49.33,,29.94,,25.15,,22.16,29.60,,,,31.58,28.35,30.50,,,23.25,,,,,,,,,,,,,,,,,,,,,,,,,5,14
customer care,9.86,9.97,10.50,10.71,,,,,9.83,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
customer service manager,18.93,12.35,20.40,13.64,13.30,12.69,12.63,9.61,9.28,14.26,11.13,11.06,13.51,8.16,,9.58,,13.64,,,,9.26,11.45,13.35,,10.92,8.90,,8.83,,,,26.50,,,,,,,,,,,,,,,,,,,,,,19,20
customer service representative,11.91,9.99,12.68,10.94,8.15,10.93,9.84,9.48,9.44,11.66,9.00,10.16,10.24,8.57,9.50,8.55,,8.16,13.00,11.17,8.71,9.33,,9.69,10.83,10.69,,,8.41,,,,12.85,,,,,,,,9.60,,,,,,,,,,,,,,22,24
database administrator,48.46,46.16,55.62,49.10,,,,,,,,,44.77,,,,45.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
database analyst,47.07,39.66,58.33,50.73,,,45.58,,,,,34.82,,,,37.51,42.22,38.53,44.19,32.46,,,,,,,,,34.54,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
engineer,46.98,44.16,58.05,51.96,,,,43.76,,43.68,,,,,,,42.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
engineering manager,55.19,67.30,66.42,86.17,,,,,,,,,,,,,56.50,,59.67,,,,,,,,,,,,,,97.85,,,,,,,,,,,,,,,,,,,,,,1,4
finance manager,52.06,47.64,60.59,57.17,34.69,55.35,27.23,61.45,55.33,,,,,,,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7
financial analyst,37.59,31.26,44.31,36.93,24.77,32.69,18.31,39.50,36.51,27.79,30.21,26.42,41.75,,39.78,21.17,34.59,,,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14
graphic designer,36.84,29.84,44.91,41.06,22.80,,,,,,,,,,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
hr assistant,19.85,21.05,21.85,23.57,,28.00,,,,15.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
hr manager,54.17,36.38,63.55,42.06,39.85,37.40,28.05,27.65,50.07,21.25,,,25.53,25.64,46.60,,,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,11,11
industrial engineer,43.08,33.69,52.51,38.94,24.96,,,,,,38.63,,28.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
intern,24.17,13.85,27.82,17.01,,19.36,11.45,15.69,,9.00,12.84,13.69,,,13.87,9.42,,,,12.82,9.58,12.75,,,,,,,,,,,,,,15.39,,,,,,,,,,,,,,,,,,,13,13
it manager,56.18,56.27,69.62,66.55,46.09,64.57,,59.20,56.80,51.07,,51.62,59.33,65.80,,,54.87,,61.53,,,,,48.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12
manager,49.85,30.58,59.05,36.03,30.66,38.56,27.53,19.94,34.38,,25.96,36.73,33.25,36.16,35.19,26.71,55.67,17.37,50.68,26.64,28.88,16.75,28.20,41.86,10.40,,,28.19,20.80,32.11,29.02,15.71,78.67,17.00,10.63,34.77,30.35,20.61,19.79,,,,,,,,,,,,,,,,30,33
market research analyst,41.09,36.37,52.49,45.88,,,,,,,,30.89,,,,,36.56,,36.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
marketing manager,51.30,45.49,63.55,59.00,34.49,47.57,24.99,50.37,46.59,,,42.07,,,52.31,,46.59,,56.55,28.70,,,,,,,,,,,,,64.32,,,,,,,,,,,,,,,,,,,,,,9,12
material handler,11.83,11.68,12.33,12.14,,12.55,,,,,10.75,,,,,,,,,,,,10.91,,,,,,,,,,,,12.70,,,,,11.36,,,,,,,,,,,,,,,4,6
merchandise assistant,24.97,18.15,29.24,23.47,12.39,,12.15,,,28.46,,,,20.00,,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
operations manager,47.28,24.90,50.97,27.60,17.98,30.32,24.30,41.20,24.68,,24.98,20.17,29.94,27.09,24.64,23.58,,25.58,,30.35,,20.85,16.67,15.25,14.24,,20.90,,,39.45,,15.72,26.50,11.00,,,,,,,,,,,,,,,,,,,,,23,23
operations research analyst,45.87,38.01,56.97,50.96,34.17,36.79,,,,,,31.78,,,,,36.91,,,,,,,,,,,,,,,,44.87,,,35.67,,,,,,,,,,,,,,,,,,,7,7
order selector,11.64,11.28,12.57,12.27,,10.81,9.64,16.09,9.72,,9.95,11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
packer,11.36,12.06,11.98,12.78,,,9.50,15.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
product manager,51.18,38.48,60.34,49.40,37.07,48.00,25.43,43.91,30.64,,49.40,34.40,,,17.16,,45.19,,44.52,,,,,,,,,,,,,,,,,34.92,,,,,,,,,,,,,,,,,,,12,12
program manager,40.29,42.78,47.73,49.96,,,,55.00,,44.04,,27.80,,,,,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
project manager,44.03,37.58,52.28,44.32,26.35,39.00,34.92,45.91,33.44,35.26,46.55,27.20,44.79,47.17,31.10,,43.12,,35.53,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15
receiving,12.57,10.51,13.09,11.50,,11.57,8.56,11.16,,,,,11.79,,,,,10.07,,,,,,,,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
sales representative,25.18,12.71,31.70,14.49,7.35,15.30,,9.55,9.47,10.04,,,,,8.62,,,,17.33,,,,,,,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
sales support,20.09,10.13,22.47,11.52,7.35,,7.54,,9.18,,,,,8.45,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
software engineer 3 - 5 years,45.81,42.23,55.40,53.99,,,,,,,,,,,,,42.12,,46.86,,,,,,,,,,,,,,,,,34.13,,,,,,,,,,,,,,,,,,,3,4
software engineer 5 - 10 years,49.64,47.27,59.93,61.35,36.83,,,,,49.24,,37.27,38.15,,,,46.25,,51.34,,,,,,,,,,,,,,77.19,,,39.50,,,,,,,,,,,,,,,,,,,7,9
software engineer < 3 years,41.11,38.55,48.93,46.17,39.90,26.00,23.33,25.93,,41.16,27.67,32.63,38.58,,,32.16,40.84,,49.17,34.13,,,,43.20,,,,47.64,38.21,,,,76.38,,,32.19,42.29,,,,,,,,,,,,,,,,,,13,19
software engineer > 10 years,54.38,56.81,65.06,67.58,,,,,,47.52,,,,52.11,,,51.87,,54.42,,,,,,,,,,,,,,80.54,,,,,,,,,,,,,,,,,,,,,,4,6
software engineer h1b,46.80,46.18,58.32,58.87,40.25,49.24,49.23,43.20,,,55.82,39.90,,,,,44.40,43.83,53.04,35.59,,,,,,,,,38.54,,,,65.95,,48.98,37.87,,,,,,,,,,,,,,,,,,,9,15
software engineer manager,57.81,42.99,68.39,54.49,,,,,,,,,,,,,54.95,,39.33,,,,,,,,,,,,,,,,,19.88,,,,,,,,,,,,,,,,,,,4,4
systems engineer,43.82,43.65,51.47,46.99,37.08,43.75,,41.47,,,,,43.00,48.38,,,41.40,,,,,,,,,,,50.30,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8
visual designer,30.32,16.45,35.11,18.94,8.84,,,,,,,,,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
warehouse worker,11.38,13.70,12.29,14.21,,,,17.59,13.13,,,,,,,,,,,,,,,,,,,12.13,,,14.25,,,,,,,,,,,,,,,,,,,,,,,,1,5
SCORE,80.5,383/476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZO,AutoZone Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
assistant manager,12.78,17.81,13.81,19.70,17.22,25.52,18.64,22.61,17.45,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,16.22,21.06,17.88,18.68,15.11,25.27,21.77,14.36,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,11.07,,,,,,,,,,,,,,,7,33
customer service manager,8.83,12.35,9.12,13.64,13.30,12.69,12.63,9.61,18.93,9.28,14.26,11.13,11.06,13.51,8.16,,9.58,,13.64,,,,9.26,11.45,13.35,,10.92,8.90,,,,,26.50,,,,,,,,,,,,,,,,,,,,,,2,20
